Year of Year Date	Adjusted for Inflation Notes	Adjusted for Inflation Title	Format	Metric	Year	Value (For Charting)	Adjusted for Inflation Flag	Year Date	Format Value # (Billion)	Format Value # (Million)	Total Value # (Billion)	Total Value # (Million)	Total Value For Year	Value (Actual)	Year (copy)
2009			Cassette	Value	2009	0		2009		$0.0	$7.8B		$7831.0B	0	2009
2000			Cassette	Value	2000	626		2000		$626.0M	$14.3B		$14323.7B	626	2000
2015			Ringtones & Ringbacks	Value	2015	54.582024222		2015		$54.6M	$6.7B		$6710.8B	54.582024222	2015
2015			SACD	Value	2015	1.04346656		2015		$1.0M	$6.7B		$6710.8B	1.04346656	2015
2010			DVD Audio	Value	2010	0.9		2010		$0.9M	$7.0B		$7013.8B	0.9	2010
1997			Cassette Single	Value	1997	133.5		1997		$133.5M	$12.2B		$12236.8B	133.5	1997
1988			Vinyl Single	Value	1988	180.4		1988		$180.4M	$6.3B		$6254.7B	180.4	1988
1989			Cassette Single	Value	1989	194.6		1989		$194.6M	$6.6B		$6580.2B	194.6	1989
2002			Cassette	Value	2002	209.8		2002		$209.8M	$12.6B		$12615.8B	209.8	2002
2019			SACD	Value	2019	0.433302292		2019		$0.4M	$11.1B		$11130.4B	0.433302292	2019
2012			Paid Subscription	Value	2012	399.882531090		2012		$399.9M	$7.0B		$7015.7B	399.882531090	2012
2008			DVD Audio	Value	2008	1.2		2008		$1.2M	$8.8B		$8776.8B	1.2	2008
2007			LP/EP	Value	2007	22.9		2007		$22.9M	$10.7B		$10650.9B	22.9	2007
2003			LP/EP	Value	2003	21.7		2003		$21.7M	$11.9B		$11854.4B	21.7	2003
2015			SoundExchange Distributions	Value	2015	802.6		2015		$802.6M	$6.7B		$6710.8B	802.6	2015
2008			SoundExchange Distributions	Value	2008	100		2008		$100.0M	$8.8B		$8776.8B	100	2008
2006			SoundExchange Distributions	Value	2006	32.8		2006		$32.8M	$11.8B		$11759.5B	32.8	2006
2012			SACD	Value	2012	1.3425		2012		$1.3M	$7.0B		$7015.7B	1.3425	2012
1979			8 - Track	Value	1979	684.3		1979		$684.3M	$3.7B		$3675.5B	684.3	1979
2006			SACD	Value	2006	5.5		2006		$5.5M	$11.8B		$11759.5B	5.5	2006
1990			Vinyl Single	Value	1990	94.4		1990		$94.4M	$7.5B		$7541.1B	94.4	1990
2001			LP/EP	Value	2001	27.4		2001		$27.4M	$13.7B		$13746.2B	27.4	2001
2008			Vinyl Single	Value	2008	2.9		2008		$2.9M	$8.8B		$8776.8B	2.9	2008
2019			Other Digital	Value	2019	21.512454038		2019		$21.5M	$11.1B		$11130.4B	21.512454038	2019
2007			Download Album	Value	2007	497.4		2007		$497.4M	$10.7B		$10650.9B	497.4	2007
1997			LP/EP	Value	1997	33.3		1997		$33.3M	$12.2B		$12236.8B	33.3	1997
2018			CD	Value	2018	695.813578618		2018		$695.8M	$9.7B		$9738.2B	695.813578618	2018
2019			Other Ad-Supported Streaming	Value	2019	207.299438261		2019		$207.3M	$11.1B		$11130.4B	207.299438261	2019
2000			CD Single	Value	2000	142.7		2000		$142.7M	$14.3B		$14323.7B	142.7	2000
1979			Vinyl Single	Value	1979	353.6		1979		$353.6M	$3.7B		$3675.5B	353.6	1979
1980			Cassette	Value	1980	705		1980		$705.0M	$3.7B		$3682.0B	705	1980
2019			Download Music Video	Value	2019	1.855021942		2019		$1.9M	$11.1B		$11130.4B	1.855021942	2019
1998			LP/EP	Value	1998	34		1998		$34.0M	$13.7B		$13711.2B	34	1998
2003			SACD	Value	2003	26.3		2003		$26.3M	$11.9B		$11854.4B	26.3	2003
2010			LP/EP	Value	2010	88.9		2010		$88.9M	$7.0B		$7013.8B	88.9	2010
2001			CD Single	Value	2001	79.4		2001		$79.4M	$13.7B		$13746.2B	79.4	2001
1999			CD Single	Value	1999	222.4		1999		$222.4M	$14.6B		$14584.7B	222.4	1999
2011			Ringtones & Ringbacks	Value	2011	276.2		2011		$276.2M	$7.1B		$7135.6B	276.2	2011
1996			LP/EP	Value	1996	36.8		1996		$36.8M	$12.5B		$12533.8B	36.8	1996
1996			Music Video (Physical)	Value	1996	236.1		1996		$236.1M	$12.5B		$12533.8B	236.1	1996
2005			DVD Audio	Value	2005	11.2		2005		$11.2M	$12.3B		$12289.9B	11.2	2005
2015			Download Album	Value	2015	1064.433606664		2015	$1.1B		$6.7B		$6710.8B	1064.433606664	2015
2020			LP/EP	Value	2020	619.610060337		2020		$619.6M	$12.2B		$12153.4B	619.610060337	2020
2004			SoundExchange Distributions	Value	2004	6.9		2004		$6.9M	$12.3B		$12345.1B	6.9	2004
2009			Vinyl Single	Value	2009	2.5		2009		$2.5M	$7.8B		$7831.0B	2.5	2009
1976			8 - Track	Value	1976	678.2		1976		$678.2M	$2.7B		$2737.1B	678.2	1976
2014			On-Demand Streaming (Ad-Supported)	Value	2014	283.793409371		2014		$283.8M	$6.7B		$6694.7B	283.793409371	2014
2004			CD	Value	2004	11446.5		2004	$11.4B		$12.3B		$12345.1B	11446.5	2004
2004			Vinyl Single	Value	2004	19.9		2004		$19.9M	$12.3B		$12345.1B	19.9	2004
2019			Download Album	Value	2019	368.777883847		2019		$368.8M	$11.1B		$11130.4B	368.777883847	2019
2013			Kiosk	Value	2013	6.183604		2013		$6.2M	$7.0B		$7035.1B	6.183604	2013
1995			Cassette	Value	1995	2303.6		1995	$2.3B		$12.3B		$12320.3B	2303.6	1995
2004			LP/EP	Value	2004	19.3		2004		$19.3M	$12.3B		$12345.1B	19.3	2004
2015			Kiosk	Value	2015	3.700455		2015		$3.7M	$6.7B		$6710.8B	3.700455	2015
1992			Cassette Single	Value	1992	298.8		1992		$298.8M	$9.0B		$9024.0B	298.8	1992
2018			Music Video (Physical)	Value	2018	28.415314793		2018		$28.4M	$9.7B		$9738.2B	28.415314793	2018
1984			CD	Value	1984	103.3		1984		$103.3M	$4.3B		$4334.7B	103.3	1984
1994			LP/EP	Value	1994	17.8		1994		$17.8M	$12.1B		$12068.0B	17.8	1994
2005			CD	Value	2005	10520.2		2005	$10.5B		$12.3B		$12289.9B	10520.2	2005
2004			CD Single	Value	2004	15		2004		$15.0M	$12.3B		$12345.1B	15	2004
1976			Vinyl Single	Value	1976	245.1		1976		$245.1M	$2.7B		$2737.1B	245.1	1976
2011			Synchronization	Value	2011	196.5		2011		$196.5M	$7.1B		$7135.6B	196.5	2011
2006			DVD Audio	Value	2006	2.4		2006		$2.4M	$11.8B		$11759.5B	2.4	2006
2006			Cassette	Value	2006	3.7		2006		$3.7M	$11.8B		$11759.5B	3.7	2006
2008			Paid Subscription	Value	2008	221.4		2008		$221.4M	$8.8B		$8776.8B	221.4	2008
2019			Vinyl Single	Value	2019	6.728343604		2019		$6.7M	$11.1B		$11130.4B	6.728343604	2019
1995			Vinyl Single	Value	1995	46.7		1995		$46.7M	$12.3B		$12320.3B	46.7	1995
2001			DVD Audio	Value	2001	6		2001		$6.0M	$13.7B		$13746.2B	6	2001
2001			Music Video (Physical)	Value	2001	329.2		2001		$329.2M	$13.7B		$13746.2B	329.2	2001
2018			Other Ad-Supported Streaming	Value	2018	208.176850655		2018		$208.2M	$9.7B		$9738.2B	208.176850655	2018
1990			Cassette Single	Value	1990	257.9		1990		$257.9M	$7.5B		$7541.1B	257.9	1990
1994			CD Single	Value	1994	56.1		1994		$56.1M	$12.1B		$12068.0B	56.1	1994
2016			CD Single	Value	2016	0.263199082		2016		$0.3M	$7.5B		$7491.7B	0.263199082	2016
2017			CD	Value	2017	1043.916051485		2017	$1.0B		$8.5B		$8503.2B	1043.916051485	2017
2019			SoundExchange Distributions	Value	2019	908.2		2019		$908.2M	$11.1B		$11130.4B	908.2	2019
1997			CD Single	Value	1997	272.7		1997		$272.7M	$12.2B		$12236.8B	272.7	1997
1999			LP/EP	Value	1999	31.8		1999		$31.8M	$14.6B		$14584.7B	31.8	1999
1979			LP/EP	Value	1979	2057		1979	$2.1B		$3.7B		$3675.5B	2057	1979
2017			Download Album	Value	2017	649.743861322		2017		$649.7M	$8.5B		$8503.2B	649.743861322	2017
1981			Vinyl Single	Value	1981	256.4		1981		$256.4M	$4.0B		$3973.9B	256.4	1981
2015			Vinyl Single	Value	2015	5.752954082		2015		$5.8M	$6.7B		$6710.8B	5.752954082	2015
2006			CD Single	Value	2006	7.7		2006		$7.7M	$11.8B		$11759.5B	7.7	2006
2009			Download Single	Value	2009	1172		2009	$1.2B		$7.8B		$7831.0B	1172	2009
1989			Music Video (Physical)	Value	1989	115.4		1989		$115.4M	$6.6B		$6580.2B	115.4	1989
2017			Kiosk	Value	2017	2.254743150		2017		$2.3M	$8.5B		$8503.2B	2.254743150	2017
2002			CD Single	Value	2002	19.6		2002		$19.6M	$12.6B		$12615.8B	19.6	2002
2008			SACD	Value	2008	3.1		2008		$3.1M	$8.8B		$8776.8B	3.1	2008
1987			CD	Value	1987	1593.6		1987	$1.6B		$5.6B		$5564.0B	1593.6	1987
1975			Other Tapes	Value	1975	10.2		1975		$10.2M	$2.4B		$2388.5B	10.2	1975
1974			8 - Track	Value	1974	549.2		1974		$549.2M	$2.2B		$2199.7B	549.2	1974
2017			Limited Tier Paid Subscription	Value	2017	568.788264549		2017		$568.8M	$8.5B		$8503.2B	568.788264549	2017
2014			Paid Subscription	Value	2014	770.270559124		2014		$770.3M	$6.7B		$6694.7B	770.270559124	2014
1973			Other Tapes	Value	1973	15.6		1973		$15.6M	$2.0B		$2016.6B	15.6	1973
2013			CD Single	Value	2013	2.445737226		2013		$2.4M	$7.0B		$7035.1B	2.445737226	2013
2006			Paid Subscription	Value	2006	206.2		2006		$206.2M	$11.8B		$11759.5B	206.2	2006
1980			LP/EP	Value	1980	2200		1980	$2.2B		$3.7B		$3682.0B	2200	1980
2002			Vinyl Single	Value	2002	24.9		2002		$24.9M	$12.6B		$12615.8B	24.9	2002
2014			Ringtones & Ringbacks	Value	2014	66.311370667		2014		$66.3M	$6.7B		$6694.7B	66.311370667	2014
2007			CD Single	Value	2007	12.2		2007		$12.2M	$10.7B		$10650.9B	12.2	2007
2009			DVD Audio	Value	2009	1.6		2009		$1.6M	$7.8B		$7831.0B	1.6	2009
1995			LP/EP	Value	1995	25.1		1995		$25.1M	$12.3B		$12320.3B	25.1	1995
2016			Download Music Video	Value	2016	4.269400120		2016		$4.3M	$7.5B		$7491.7B	4.269400120	2016
1984			Vinyl Single	Value	1984	298.7		1984		$298.7M	$4.3B		$4334.7B	298.7	1984
1981			LP/EP	Value	1981	2341.7		1981	$2.3B		$4.0B		$3973.9B	2341.7	1981
1993			Cassette	Value	1993	2915.8		1993	$2.9B		$10.0B		$10046.6B	2915.8	1993
2013			Download Album	Value	2013	1232.139715617		2013	$1.2B		$7.0B		$7035.1B	1232.139715617	2013
2006			Download Single	Value	2006	580.6		2006		$580.6M	$11.8B		$11759.5B	580.6	2006
2018			CD Single	Value	2018	0.015804147		2018		$0.0	$9.7B		$9738.2B	0.015804147	2018
1989			Cassette	Value	1989	3345.8		1989	$3.3B		$6.6B		$6580.2B	3345.8	1989
2010			SACD	Value	2010	1.7		2010		$1.7M	$7.0B		$7013.8B	1.7	2010
2020			CD Single	Value	2020	0.370353987		2020		$0.4M	$12.2B		$12153.4B	0.370353987	2020
2013			Paid Subscription	Value	2013	643.324288756		2013		$643.3M	$7.0B		$7035.1B	643.324288756	2013
2008			Kiosk	Value	2008	2.6		2008		$2.6M	$8.8B		$8776.8B	2.6	2008
2014			Vinyl Single	Value	2014	5.499354290		2014		$5.5M	$6.7B		$6694.7B	5.499354290	2014
1991			LP/EP	Value	1991	29.4		1991		$29.4M	$7.8B		$7834.2B	29.4	1991
1996			CD Single	Value	1996	184.1		1996		$184.1M	$12.5B		$12533.8B	184.1	1996
1974			Cassette	Value	1974	87.2		1974		$87.2M	$2.2B		$2199.7B	87.2	1974
2005			Download Music Video	Value	2005	3.7		2005		$3.7M	$12.3B		$12289.9B	3.7	2005
1987			Cassette Single	Value	1987	14.3		1987		$14.3M	$5.6B		$5564.0B	14.3	1987
2019			On-Demand Streaming (Ad-Supported)	Value	2019	1013.055227560		2019	$1.0B		$11.1B		$11130.4B	1013.055227560	2019
1996			Vinyl Single	Value	1996	47.5		1996		$47.5M	$12.5B		$12533.8B	47.5	1996
2008			Cassette	Value	2008	0.9		2008		$0.9M	$8.8B		$8776.8B	0.9	2008
1987			Cassette	Value	1987	2959.7		1987	$3.0B		$5.6B		$5564.0B	2959.7	1987
2018			Other Digital	Value	2018	19.839574865		2018		$19.8M	$9.7B		$9738.2B	19.839574865	2018
2007			Kiosk	Value	2007	2.6		2007		$2.6M	$10.7B		$10650.9B	2.6	2007
1976			LP/EP	Value	1976	1663		1976	$1.7B		$2.7B		$2737.1B	1663	1976
2013			SACD	Value	2013	0.9783826		2013		$1.0M	$7.0B		$7035.1B	0.9783826	2013
2019			Limited Tier Paid Subscription	Value	2019	638.226190575		2019		$638.2M	$11.1B		$11130.4B	638.226190575	2019
1986			CD	Value	1986	930.1		1986		$930.1M	$4.6B		$4640.7B	930.1	1986
2007			Music Video (Physical)	Value	2007	484.9		2007		$484.9M	$10.7B		$10650.9B	484.9	2007
2019			Music Video (Physical)	Value	2019	25.837151083		2019		$25.8M	$11.1B		$11130.4B	25.837151083	2019
2005			Download Single	Value	2005	363.3		2005		$363.3M	$12.3B		$12289.9B	363.3	2005
1977			LP/EP	Value	1977	2195.1		1977	$2.2B		$3.5B		$3500.8B	2195.1	1977
1991			Cassette Single	Value	1991	230.4		1991		$230.4M	$7.8B		$7834.2B	230.4	1991
2013			Download Single	Value	2013	1573.420534445		2013	$1.6B		$7.0B		$7035.1B	1573.420534445	2013
2018			Limited Tier Paid Subscription	Value	2018	740.513270408		2018		$740.5M	$9.7B		$9738.2B	740.513270408	2018
2009			SoundExchange Distributions	Value	2009	155.5		2009		$155.5M	$7.8B		$7831.0B	155.5	2009
2011			Vinyl Single	Value	2011	4.6		2011		$4.6M	$7.1B		$7135.6B	4.6	2011
2019			LP/EP	Value	2019	479.528431092		2019		$479.5M	$11.1B		$11130.4B	479.528431092	2019
2007			Download Music Video	Value	2007	28.2		2007		$28.2M	$10.7B		$10650.9B	28.2	2007
1997			Music Video (Physical)	Value	1997	323.9		1997		$323.9M	$12.2B		$12236.8B	323.9	1997
1998			CD Single	Value	1998	213.2		1998		$213.2M	$13.7B		$13711.2B	213.2	1998
2005			LP/EP	Value	2005	14.2		2005		$14.2M	$12.3B		$12289.9B	14.2	2005
2011			CD Single	Value	2011	3.5		2011		$3.5M	$7.1B		$7135.6B	3.5	2011
1990			CD	Value	1990	3451.6		1990	$3.5B		$7.5B		$7541.1B	3451.6	1990
1987			LP/EP	Value	1987	793.1		1987		$793.1M	$5.6B		$5564.0B	793.1	1987
1976			Other Tapes	Value	1976	5.1		1976		$5.1M	$2.7B		$2737.1B	5.1	1976
1974			LP/EP	Value	1974	1356		1974	$1.4B		$2.2B		$2199.7B	1356	1974
1986			Cassette	Value	1986	2499.5		1986	$2.5B		$4.6B		$4640.7B	2499.5	1986
1999			Vinyl Single	Value	1999	27.9		1999		$27.9M	$14.6B		$14584.7B	27.9	1999
2010			SoundExchange Distributions	Value	2010	249.2		2010		$249.2M	$7.0B		$7013.8B	249.2	2010
2016			SACD	Value	2016	1.20686148		2016		$1.2M	$7.5B		$7491.7B	1.20686148	2016
2007			CD	Value	2007	7452.3		2007	$7.5B		$10.7B		$10650.9B	7452.3	2007
2010			Ringtones & Ringbacks	Value	2010	448		2010		$448.0M	$7.0B		$7013.8B	448	2010
1991			Vinyl Single	Value	1991	63.9		1991		$63.9M	$7.8B		$7834.2B	63.9	1991
2006			CD	Value	2006	9372.6		2006	$9.4B		$11.8B		$11759.5B	9372.6	2006
1996			CD	Value	1996	9934.7		1996	$9.9B		$12.5B		$12533.8B	9934.7	1996
2004			Cassette	Value	2004	23.7		2004		$23.7M	$12.3B		$12345.1B	23.7	2004
2013			Music Video (Physical)	Value	2013	106.283137789		2013		$106.3M	$7.0B		$7035.1B	106.283137789	2013
2014			Download Single	Value	2014	1355.331251323		2014	$1.4B		$6.7B		$6694.7B	1355.331251323	2014
2007			SACD	Value	2007	3.6		2007		$3.6M	$10.7B		$10650.9B	3.6	2007
1996			Cassette Single	Value	1996	189.3		1996		$189.3M	$12.5B		$12533.8B	189.3	1996
2017			SACD	Value	2017	0.85057856		2017		$0.9M	$8.5B		$8503.2B	0.85057856	2017
2016			CD	Value	2016	1130.764650638		2016	$1.1B		$7.5B		$7491.7B	1130.764650638	2016
2005			Music Video (Physical)	Value	2005	602.2		2005		$602.2M	$12.3B		$12289.9B	602.2	2005
1990			CD Single	Value	1990	6		1990		$6.0M	$7.5B		$7541.1B	6	1990
2015			CD	Value	2015	1444.993193529		2015	$1.4B		$6.7B		$6710.8B	1444.993193529	2015
2016			Music Video (Physical)	Value	2016	56.922902813		2016		$56.9M	$7.5B		$7491.7B	56.922902813	2016
2017			Synchronization	Value	2017	232.086522899		2017		$232.1M	$8.5B		$8503.2B	232.086522899	2017
1994			Vinyl Single	Value	1994	47.2		1994		$47.2M	$12.1B		$12068.0B	47.2	1994
2011			CD	Value	2011	3100.7		2011	$3.1B		$7.1B		$7135.6B	3100.7	2011
1990			LP/EP	Value	1990	86.5		1990		$86.5M	$7.5B		$7541.1B	86.5	1990
2017			Other Digital	Value	2017	16.885109868		2017		$16.9M	$8.5B		$8503.2B	16.885109868	2017
1975			8 - Track	Value	1975	583		1975		$583.0M	$2.4B		$2388.5B	583	1975
2020			Other Digital	Value	2020	18.890264246		2020		$18.9M	$12.2B		$12153.4B	18.890264246	2020
2000			Music Video (Physical)	Value	2000	281.9		2000		$281.9M	$14.3B		$14323.7B	281.9	2000
2013			SoundExchange Distributions	Value	2013	590.4		2013		$590.4M	$7.0B		$7035.1B	590.4	2013
2018			Download Single	Value	2018	489.866220230		2018		$489.9M	$9.7B		$9738.2B	489.866220230	2018
1978			Cassette	Value	1978	449.8		1978		$449.8M	$4.1B		$4131.4B	449.8	1978
2018			LP/EP	Value	2018	419.223946961		2018		$419.2M	$9.7B		$9738.2B	419.223946961	2018
2004			Download Single	Value	2004	138		2004		$138.0M	$12.3B		$12345.1B	138	2004
1985			Cassette	Value	1985	2411.5		1985	$2.4B		$4.4B		$4362.5B	2411.5	1985
2016			Paid Subscription	Value	2016	2186.442205817		2016	$2.2B		$7.5B		$7491.7B	2186.442205817	2016
2017			Other Ad-Supported Streaming	Value	2017	223.932979603		2017		$223.9M	$8.5B		$8503.2B	223.932979603	2017
1980			8 - Track	Value	1980	527		1980		$527.0M	$3.7B		$3682.0B	527	1980
1994			Cassette Single	Value	1994	274.9		1994		$274.9M	$12.1B		$12068.0B	274.9	1994
2006			Kiosk	Value	2006	1.9		2006		$1.9M	$11.8B		$11759.5B	1.9	2006
2020			DVD Audio	Value	2020	1.843745194		2020		$1.8M	$12.2B		$12153.4B	1.843745194	2020
2012			DVD Audio	Value	2012	0.183106992		2012		$0.2M	$7.0B		$7015.7B	0.183106992	2012
2014			CD	Value	2014	1776.249323795		2014	$1.8B		$6.7B		$6694.7B	1776.249323795	2014
2018			Download Album	Value	2018	495.258335623		2018		$495.3M	$9.7B		$9738.2B	495.258335623	2018
2020			Music Video (Physical)	Value	2020	27.426624454		2020		$27.4M	$12.2B		$12153.4B	27.426624454	2020
2015			Music Video (Physical)	Value	2015	70.434363958		2015		$70.4M	$6.7B		$6710.8B	70.434363958	2015
2016			LP/EP	Value	2016	355.430890954		2016		$355.4M	$7.5B		$7491.7B	355.430890954	2016
2014			SoundExchange Distributions	Value	2014	773.4		2014		$773.4M	$6.7B		$6694.7B	773.4	2014
2016			Other Ad-Supported Streaming	Value	2016	70.635184166		2016		$70.6M	$7.5B		$7491.7B	70.635184166	2016
1992			Cassette	Value	1992	3116.3		1992	$3.1B		$9.0B		$9024.0B	3116.3	1992
2014			DVD Audio	Value	2014	2.139460944		2014		$2.1M	$6.7B		$6694.7B	2.139460944	2014
2011			Download Album	Value	2011	1070.8		2011	$1.1B		$7.1B		$7135.6B	1070.8	2011
1977			Vinyl Single	Value	1977	245.1		1977		$245.1M	$3.5B		$3500.8B	245.1	1977
2018			Synchronization	Value	2018	285.513491340		2018		$285.5M	$9.7B		$9738.2B	285.513491340	2018
2018			On-Demand Streaming (Ad-Supported)	Value	2018	752.689023397		2018		$752.7M	$9.7B		$9738.2B	752.689023397	2018
2012			Kiosk	Value	2012	3.654065		2012		$3.7M	$7.0B		$7015.7B	3.654065	2012
2007			DVD Audio	Value	2007	2.8		2007		$2.8M	$10.7B		$10650.9B	2.8	2007
1974			Vinyl Single	Value	1974	194		1974		$194.0M	$2.2B		$2199.7B	194	1974
2000			Cassette Single	Value	2000	4.6		2000		$4.6M	$14.3B		$14323.7B	4.6	2000
2011			DVD Audio	Value	2011	0.3		2011		$0.3M	$7.1B		$7135.6B	0.3	2011
1975			LP/EP	Value	1975	1485		1975	$1.5B		$2.4B		$2388.5B	1485	1975
2015			Limited Tier Paid Subscription	Value	2015	0		2015		$0.0	$6.7B		$6710.8B	0	2015
2016			Download Single	Value	2016	900.181481066		2016		$900.2M	$7.5B		$7491.7B	900.181481066	2016
2011			SACD	Value	2011	1.5		2011		$1.5M	$7.1B		$7135.6B	1.5	2011
2019			Download Single	Value	2019	408.353016302		2019		$408.4M	$11.1B		$11130.4B	408.353016302	2019
2016			Other Digital	Value	2016	17.141662871		2016		$17.1M	$7.5B		$7491.7B	17.141662871	2016
1984			Cassette	Value	1984	2383.9		1984	$2.4B		$4.3B		$4334.7B	2383.9	1984
2012			Download Music Video	Value	2012	20.842242		2012		$20.8M	$7.0B		$7015.7B	20.842242	2012
2003			Vinyl Single	Value	2003	21.5		2003		$21.5M	$11.9B		$11854.4B	21.5	2003
2017			Ringtones & Ringbacks	Value	2017	35.513735653		2017		$35.5M	$8.5B		$8503.2B	35.513735653	2017
2020			SACD	Value	2020	0.236672458		2020		$0.2M	$12.2B		$12153.4B	0.236672458	2020
2020			On-Demand Streaming (Ad-Supported)	Value	2020	1183.121359683		2020	$1.2B		$12.2B		$12153.4B	1183.121359683	2020
2006			Vinyl Single	Value	2006	9.9		2006		$9.9M	$11.8B		$11759.5B	9.9	2006
2020			Download Music Video	Value	2020	1.794225466		2020		$1.8M	$12.2B		$12153.4B	1.794225466	2020
2019			Ringtones & Ringbacks	Value	2019	20.641318127		2019		$20.6M	$11.1B		$11130.4B	20.641318127	2019
2011			On-Demand Streaming (Ad-Supported)	Value	2011	113.8		2011		$113.8M	$7.1B		$7135.6B	113.8	2011
2008			CD	Value	2008	5471.3		2008	$5.5B		$8.8B		$8776.8B	5471.3	2008
2010			Vinyl Single	Value	2010	2.3		2010		$2.3M	$7.0B		$7013.8B	2.3	2010
1989			LP/EP	Value	1989	220.3		1989		$220.3M	$6.6B		$6580.2B	220.3	1989
1982			Vinyl Single	Value	1982	283		1982		$283.0M	$3.6B		$3628.6B	283	1982
2016			Ringtones & Ringbacks	Value	2016	56.325299125		2016		$56.3M	$7.5B		$7491.7B	56.325299125	2016
2016			Vinyl Single	Value	2016	4.880679689		2016		$4.9M	$7.5B		$7491.7B	4.880679689	2016
